FlightNumber,IsDeparting,Destination,Origin,ArrivalTime,OffTime,ArrivalTimeMinutes,OffTimeMinutes,ArrivalTimeActual,OffTimeActual,ArrivalTimeActualMinutes,OffTimeActualMinutes,Aircraft,FlightType,PassengersArr,PassengersDept,DepGate,ArrGate,SchedDepLocal,SchedArrLocal,OutGateLocal,InGateLocal,SchedDepUtc,SchedArrUtc,OutGateUtc,InGateUtc,TailNumber
AA2532,Y,MSP,DFW,0545,0715,345,435,0545,0709,345.0,429.0,2.0,Domestic,0,150,C10,,2016-05-02 07:15:00,2016-05-02 09:37:00,2016-05-02 07:09:00,2016-05-02 09:33:00,2016-05-02 12:15,2016-05-02 14:37,2016-05-02 12:09,2016-05-02 14:33,N467AA
AA185,N,DFW,LAS,0545,0710,345,430,0602,0714,362.0,434.0,2.0,,150,0,,A15,2016-05-02 00:58:00,2016-05-02 05:45:00,2016-05-02 00:58:00,2016-05-02 06:02:00,2016-05-02 07:58,2016-05-02 10:45,2016-05-02 07:58,2016-05-02 11:02,N143AN
AA2332,Y,ORD,DFW,0600,0730,360,450,0600,0741,360.0,461.0,2.0,Domestic,0,150,C20,,2016-05-02 07:30:00,2016-05-02 09:53:00,2016-05-02 07:41:00,2016-05-02 09:57:00,2016-05-02 12:30,2016-05-02 14:53,2016-05-02 12:41,2016-05-02 14:57,N481AA
AA614,Y,PHX,DFW,0600,0705,360,425,0605,0702,365.0,422.0,2.0,Domestic,0,150,C37,,2016-05-02 07:05:00,2016-05-02 07:45:00,2016-05-02 07:02:00,2016-05-02 07:45:00,2016-05-02 12:05,2016-05-02 14:45,2016-05-02 12:02,2016-05-02 14:45,N179UW
AA306,Y,IND,DFW,0600,0730,360,450,0600,0727,360.0,447.0,2.0,Domestic,0,150,C17,,2016-05-02 07:30:00,2016-05-02 10:35:00,2016-05-02 07:27:00,2016-05-02 10:44:00,2016-05-02 12:30,2016-05-02 14:35,2016-05-02 12:27,2016-05-02 14:44,N483A
AA1104,Y,LGA,DFW,0600,0730,360,450,0600,0731,360.0,451.0,2.0,Domestic,0,150,A10,,2016-05-02 07:30:00,2016-05-02 11:55:00,2016-05-02 07:31:00,2016-05-02 11:55:00,2016-05-02 12:30,2016-05-02 15:55,2016-05-02 12:31,2016-05-02 15:55,N920AN
AA614,N,DFW,SFO,0600,0705,360,425,0605,0702,365.0,422.0,2.0,Domestic,150,0,,C37,2016-05-02 00:25:00,2016-05-02 06:00:00,2016-05-02 00:23:00,2016-05-02 06:05:00,2016-05-02 07:25,2016-05-02 11:00,2016-05-02 07:23,2016-05-02 11:05,N179UW
AA2275,Y,DSM,DFW,0600,0730,360,450,0600,0749,360.0,469.0,2.0,Domestic,0,150,C24,,2016-05-02 07:30:00,2016-05-02 09:19:00,2016-05-02 07:49:00,2016-05-02 09:27:00,2016-05-02 12:30,2016-05-02 14:19,2016-05-02 12:49,2016-05-02 14:27,N9621A
AA2374,Y,DEN,DFW,0603,0715,363,435,0606,0711,366.0,431.0,2.0,Domestic,0,150,A20,,2016-05-02 07:15:00,2016-05-02 08:22:00,2016-05-02 07:11:00,2016-05-02 08:31:00,2016-05-02 12:15,2016-05-02 14:22,2016-05-02 12:11,2016-05-02 14:31,N137AA
AA1230,N,DFW,SEA,0603,0715,363,435,0606,0711,366.0,431.0,2.0,,150,0,,A20,2016-05-02 00:10:00,2016-05-02 06:03:00,2016-05-02 00:07:00,2016-05-02 06:06:00,2016-05-02 07:10,2016-05-02 11:03,2016-05-02 07:07,2016-05-02 11:06,N137AA
AA3179,N,DFW,OKC,0604,0634,364,394,0551,0634,351.0,394.0,3.0,,75,0,,B31,2016-05-02 05:00:00,2016-05-02 06:04:00,2016-05-02 04:48:00,2016-05-02 05:51:00,2016-05-02 10:00,2016-05-02 11:04,2016-05-02 09:48,2016-05-02 10:51,N539EA
AA2186,Y,SJU,DFW,0608,0705,368,425,0614,0701,374.0,421.0,2.0,Domestic,0,150,A33,,2016-05-02 07:05:00,2016-05-02 12:44:00,2016-05-02 07:01:00,2016-05-02 12:27:00,2016-05-02 12:05,2016-05-02 16:44,2016-05-02 12:01,2016-05-02 16:27,N817NN
AA1102,N,DFW,AUS,0608,0705,368,425,0614,0701,374.0,421.0,2.0,,150,0,,A33,2016-05-02 05:05:00,2016-05-02 06:08:00,2016-05-02 05:01:00,2016-05-02 06:14:00,2016-05-02 10:05,2016-05-02 11:08,2016-05-02 10:01,2016-05-02 11:14,N817NN
AA5723,N,DFW,LBB,0611,0700,371,420,0556,0659,356.0,419.0,3.0,,75,0,,B26,2016-05-02 05:00:00,2016-05-02 06:11:00,2016-05-02 04:54:00,2016-05-02 05:56:00,2016-05-02 10:00,2016-05-02 11:11,2016-05-02 09:54,2016-05-02 10:56,N245LR
AA5782,Y,JAX,DFW,0611,0700,371,420,0556,0659,356.0,419.0,3.0,Domestic,0,75,B26,,2016-05-02 07:00:00,2016-05-02 10:28:00,2016-05-02 06:59:00,2016-05-02 10:21:00,2016-05-02 12:00,2016-05-02 14:28,2016-05-02 11:59,2016-05-02 14:21,N245LR
AA8,N,DFW,HNL,0615,0645,375,405,0605,0645,365.0,405.0,1.0,,300,0,,A24,2016-05-02 17:40:00,2016-05-03 06:15:00,2016-05-02 17:33:00,2016-05-03 06:05:00,2016-05-03 03:40,2016-05-03 11:15,2016-05-03 03:33,2016-05-03 11:05,N377AN
AA2180,Y,CMH,DFW,0617,0715,377,435,0609,0710,369.0,430.0,2.0,Domestic,0,150,C19,,2016-05-02 07:15:00,2016-05-02 10:39:00,2016-05-02 07:10:00,2016-05-02 10:21:00,2016-05-02 12:15,2016-05-02 14:39,2016-05-02 12:10,2016-05-02 14:21,N9405T
AA3524,Y,DAY,DFW,0617,0710,377,430,0613,0707,373.0,427.0,3.0,Domestic,0,75,B30,,2016-05-02 07:10:00,2016-05-02 10:30:00,2016-05-02 07:07:00,2016-05-02 10:50:00,2016-05-02 12:10,2016-05-02 14:30,2016-05-02 12:07,2016-05-02 14:50,N907AE
AA5735,Y,MKE,DFW,0617,0715,377,435,0609,0714,369.0,434.0,3.0,Domestic,0,75,B49,,2016-05-02 07:15:00,2016-05-02 09:36:00,2016-05-02 07:14:00,2016-05-02 09:36:00,2016-05-02 12:15,2016-05-02 14:36,2016-05-02 12:14,2016-05-02 14:36,N956LR
AA5823,N,DFW,AMA,0617,0715,377,435,0609,0714,369.0,434.0,3.0,,75,0,,B49,2016-05-02 05:00:00,2016-05-02 06:17:00,2016-05-02 04:53:00,2016-05-02 06:09:00,2016-05-02 10:00,2016-05-02 11:17,2016-05-02 09:53,2016-05-02 11:09,N956LR
AA2244,N,DFW,IAH,0617,0715,377,435,0609,0710,369.0,430.0,2.0,,150,0,,C19,2016-05-02 05:00:00,2016-05-02 06:17:00,2016-05-02 04:59:00,2016-05-02 06:09:00,2016-05-02 10:00,2016-05-02 11:17,2016-05-02 09:59,2016-05-02 11:09,N9405T
AA3255,N,DFW,TYR,0617,0710,377,430,0613,0707,373.0,427.0,3.0,,75,0,,B30,2016-05-02 05:21:00,2016-05-02 06:17:00,2016-05-02 05:19:00,2016-05-02 06:13:00,2016-05-02 10:21,2016-05-02 11:17,2016-05-02 10:19,2016-05-02 11:13,N907AE
AA1255,N,DFW,TUL,0617,0705,377,425,0616,0703,376.0,423.0,2.0,,150,0,,C16,2016-05-02 05:05:00,2016-05-02 06:17:00,2016-05-02 05:02:00,2016-05-02 06:16:00,2016-05-02 10:05,2016-05-02 11:17,2016-05-02 10:02,2016-05-02 11:16,N9625W
AA1160,Y,RDU,DFW,0617,0705,377,425,0616,0703,376.0,423.0,2.0,Domestic,0,150,C16,,2016-05-02 07:05:00,2016-05-02 10:47:00,2016-05-02 07:03:00,2016-05-02 10:38:00,2016-05-02 12:05,2016-05-02 14:47,2016-05-02 12:03,2016-05-02 14:38,N9625W
AA3336,N,DFW,XNA,0617,0705,377,425,0628,0702,388.0,422.0,3.0,,75,0,,B6,2016-05-02 05:00:00,2016-05-02 06:17:00,2016-05-02 05:02:00,2016-05-02 06:28:00,2016-05-02 10:00,2016-05-02 11:17,2016-05-02 10:02,2016-05-02 11:28,N224NN
AA3158,Y,HOU,DFW,0617,0705,377,425,0628,0702,388.0,422.0,3.0,Domestic,0,75,B6,,2016-05-02 07:05:00,2016-05-02 08:21:00,2016-05-02 07:02:00,2016-05-02 08:15:00,2016-05-02 12:05,2016-05-02 13:21,2016-05-02 12:02,2016-05-02 13:15,N224NN
AA3473,Y,PNS,DFW,0618,0700,378,420,0615,0655,375.0,415.0,3.0,Domestic,0,75,B28,,2016-05-02 07:00:00,2016-05-02 08:50:00,2016-05-02 06:55:00,2016-05-02 08:46:00,2016-05-02 12:00,2016-05-02 13:50,2016-05-02 11:55,2016-05-02 13:46,N645AE
AA3642,N,DFW,CLL,0618,0700,378,420,0615,0655,375.0,415.0,3.0,,75,0,,B28,2016-05-02 05:15:00,2016-05-02 06:18:00,2016-05-02 05:08:00,2016-05-02 06:15:00,2016-05-02 10:15,2016-05-02 11:18,2016-05-02 10:08,2016-05-02 11:15,N645AE
AA2801,Y,TYS,DFW,0619,0715,379,435,0602,0710,362.0,430.0,3.0,Domestic,0,75,B27,,2016-05-02 07:15:00,2016-05-02 10:26:00,2016-05-02 07:10:00,2016-05-02 10:25:00,2016-05-02 12:15,2016-05-02 14:26,2016-05-02 12:10,2016-05-02 14:25,N864JW
AA5659,Y,HSV,DFW,0619,0700,379,420,0622,0659,382.0,419.0,3.0,Domestic,0,75,B42,,2016-05-02 07:00:00,2016-05-02 08:49:00,2016-05-02 06:59:00,2016-05-02 08:57:00,2016-05-02 12:00,2016-05-02 13:49,2016-05-02 11:59,2016-05-02 13:57,N246LR
AA2803,Y,TUL,DFW,0619,0715,379,435,0633,0715,393.0,435.0,3.0,Domestic,0,75,B29,,2016-05-02 07:15:00,2016-05-02 08:26:00,2016-05-02 07:15:00,2016-05-02 08:31:00,2016-05-02 12:15,2016-05-02 13:26,2016-05-02 12:15,2016-05-02 13:31,N678AE
AA5718,N,DFW,MAF,0619,0700,379,420,0622,0659,382.0,419.0,3.0,,75,0,,B42,2016-05-02 05:00:00,2016-05-02 06:19:00,2016-05-02 04:54:00,2016-05-02 06:22:00,2016-05-02 10:00,2016-05-02 11:19,2016-05-02 09:54,2016-05-02 11:22,N246LR
AA2861,N,DFW,SPS,0619,0715,379,435,0633,0715,393.0,435.0,3.0,,75,0,,B29,2016-05-02 05:27:00,2016-05-02 06:19:00,2016-05-02 05:50:00,2016-05-02 06:33:00,2016-05-02 10:27,2016-05-02 11:19,2016-05-02 10:50,2016-05-02 11:33,N678AE
AA2801,N,DFW,LAW,0619,0715,379,435,0602,0710,362.0,430.0,3.0,Domestic,75,0,,B27,2016-05-02 05:25:00,2016-05-02 06:19:00,2016-05-02 05:17:00,2016-05-02 06:02:00,2016-05-02 10:25,2016-05-02 11:19,2016-05-02 10:17,2016-05-02 11:02,N864JW
AA3431,N,DFW,ABI,0621,0715,381,435,0617,0715,377.0,435.0,3.0,Domestic,75,0,,B32,2016-05-02 05:30:00,2016-05-02 06:21:00,2016-05-02 05:21:00,2016-05-02 06:17:00,2016-05-02 10:30,2016-05-02 11:21,2016-05-02 10:21,2016-05-02 11:17,N698CB
AA3431,Y,OKC,DFW,0621,0715,381,435,0617,0715,377.0,435.0,3.0,Domestic,0,75,B32,,2016-05-02 07:15:00,2016-05-02 08:18:00,2016-05-02 07:15:00,2016-05-02 08:31:00,2016-05-02 12:15,2016-05-02 13:18,2016-05-02 12:15,2016-05-02 13:31,N698CB
AA5899,Y,MEM,DFW,0623,0715,383,435,0620,0727,380.0,447.0,3.0,Domestic,0,75,B41,,2016-05-02 07:15:00,2016-05-02 08:49:00,2016-05-02 07:27:00,2016-05-02 08:59:00,2016-05-02 12:15,2016-05-02 13:49,2016-05-02 12:27,2016-05-02 13:59,N917FJ
AA5715,N,DFW,FSM,0623,0715,383,435,0620,0727,380.0,447.0,3.0,,75,0,,B41,2016-05-02 05:08:00,2016-05-02 06:23:00,2016-05-02 05:00:00,2016-05-02 06:20:00,2016-05-02 10:08,2016-05-02 11:23,2016-05-02 10:00,2016-05-02 11:20,N917FJ
AA5892,Y,IAH,DFW,0624,0705,384,425,0631,0707,391.0,427.0,3.0,Domestic,0,75,B45,,2016-05-02 07:05:00,2016-05-02 08:20:00,2016-05-02 07:07:00,2016-05-02 08:21:00,2016-05-02 12:05,2016-05-02 13:20,2016-05-02 12:07,2016-05-02 13:21,N909FJ
AA5814,N,DFW,ICT,0624,0705,384,425,0631,0707,391.0,427.0,3.0,,75,0,,B45,2016-05-02 05:00:00,2016-05-02 06:24:00,2016-05-02 04:56:00,2016-05-02 06:31:00,2016-05-02 10:00,2016-05-02 11:24,2016-05-02 09:56,2016-05-02 11:31,N909FJ
AA2813,N,DFW,ACT,0625,0710,385,430,0635,0710,395.0,430.0,3.0,,75,0,,B25,2016-05-02 05:33:00,2016-05-02 06:25:00,2016-05-02 05:58:00,2016-05-02 06:35:00,2016-05-02 10:33,2016-05-02 11:25,2016-05-02 10:58,2016-05-02 11:35,N675AE
AA2887,Y,JAN,DFW,0625,0710,385,430,0635,0710,395.0,430.0,3.0,Domestic,0,75,B25,,2016-05-02 07:10:00,2016-05-02 08:39:00,2016-05-02 07:10:00,2016-05-02 08:40:00,2016-05-02 12:10,2016-05-02 13:39,2016-05-02 12:10,2016-05-02 13:40,N675AE
AA3160,N,DFW,CRP,0627,0710,387,430,0630,0708,390.0,428.0,3.0,,75,0,,B7,2016-05-02 05:00:00,2016-05-02 06:27:00,2016-05-02 04:50:00,2016-05-02 06:30:00,2016-05-02 10:00,2016-05-02 11:27,2016-05-02 09:50,2016-05-02 11:30,N228NN
AA3243,Y,OMA,DFW,0627,0710,387,430,0630,0708,390.0,428.0,3.0,Domestic,0,75,B7,,2016-05-02 07:10:00,2016-05-02 08:59:00,2016-05-02 07:08:00,2016-05-02 08:52:00,2016-05-02 12:10,2016-05-02 13:59,2016-05-02 12:08,2016-05-02 13:52,N228NN
AA3150,N,DFW,SGF,0628,0658,388,418,0648,0843,408.0,523.0,3.0,,75,0,,B44,2016-05-02 05:00:00,2016-05-02 06:28:00,2016-05-02 05:09:00,2016-05-02 06:48:00,2016-05-02 10:00,2016-05-02 11:28,2016-05-02 10:09,2016-05-02 11:48,N649PP
AA5841,N,DFW,HOU,0634,0730,394,450,0624,0729,384.0,449.0,3.0,,75,0,,B46,2016-05-02 05:24:00,2016-05-02 06:34:00,2016-05-02 05:15:00,2016-05-02 06:24:00,2016-05-02 10:24,2016-05-02 11:34,2016-05-02 10:15,2016-05-02 11:24,N939LR
AA5725,Y,CVG,DFW,0634,0730,394,450,0624,0729,384.0,449.0,3.0,Domestic,0,75,B46,,2016-05-02 07:30:00,2016-05-02 10:47:00,2016-05-02 07:29:00,2016-05-02 10:43:00,2016-05-02 12:30,2016-05-02 14:47,2016-05-02 12:29,2016-05-02 14:43,N939LR
AA5768,Y,SDF,DFW,0647,0750,407,470,0635,0749,395.0,469.0,3.0,Domestic,0,75,B1,,2016-05-02 07:50:00,2016-05-02 10:48:00,2016-05-02 07:49:00,2016-05-02 10:46:00,2016-05-02 12:50,2016-05-02 14:48,2016-05-02 12:49,2016-05-02 14:46,N954LR
AA5764,N,DFW,MTY,0647,0750,407,470,0635,0749,395.0,469.0,3.0,,75,0,,B1,2016-05-02 05:00:00,2016-05-02 06:47:00,2016-05-02 04:55:00,2016-05-02 06:35:00,2016-05-02 10:00,2016-05-02 11:47,2016-05-02 09:55,2016-05-02 11:35,N954LR
AA585,Y,PHL,DFW,0655,0825,415,505,0655,0823,415.0,503.0,2.0,Domestic,0,150,C39,,2016-05-02 08:25:00,2016-05-02 12:35:00,2016-05-02 08:23:00,2016-05-02 12:10:00,2016-05-02 13:25,2016-05-02 16:35,2016-05-02 13:23,2016-05-02 16:10,N192UW
AA495,Y,PHX,DFW,0655,0825,415,505,0655,0821,415.0,501.0,2.0,Domestic,0,150,C33,,2016-05-02 08:25:00,2016-05-02 08:59:00,2016-05-02 08:21:00,2016-05-02 08:49:00,2016-05-02 13:25,2016-05-02 15:59,2016-05-02 13:21,2016-05-02 15:49,N584UW
AA2184,N,DFW,OKC,0700,0755,420,475,0657,0754,417.0,474.0,2.0,,150,0,,C35,2016-05-02 06:00:00,2016-05-02 07:00:00,2016-05-02 05:57:00,2016-05-02 06:57:00,2016-05-02 11:00,2016-05-02 12:00,2016-05-02 10:57,2016-05-02 11:57,N7541A
AA2419,Y,DTW,DFW,0700,0755,420,475,0657,0754,417.0,474.0,2.0,Domestic,0,150,C35,,2016-05-02 07:55:00,2016-05-02 11:31:00,2016-05-02 07:54:00,2016-05-02 11:13:00,2016-05-02 12:55,2016-05-02 15:31,2016-05-02 12:54,2016-05-02 15:13,N7541A
